english,hindi_original,hindi_simplified
hello sir madam we requested pdo to provide e swathu for our house measurements following from feb submitted all the supporting documents still they did not provide as per our house measurements also they did not provide us any acknowledgement while submitting e swathu request kindly investigate in a village about we residing in same house measurements with past years same measurements we constructed new house on again we submitted all the documents to pdo for e swathu on dec still they did not provide any acknowledgement and proper e swathu requesting to provide e swathu for which our site measurements for the same house where we stayed from past years thanks,"नमस्ते सर मैडम हमने पी. डी. ओ. से अनुरोध किया कि वे हमारे घर के माप के लिए ई स्वाथु प्रदान करें, इसके बाद भी उन्होंने हमारे घर के माप के अनुसार प्रदान नहीं किया, फिर भी उन्होंने हमें कोई पावती प्रदान नहीं की ई स्वाथु अनुरोध प्रस्तुत करते समय कृपया एक गाँव में जांच करें कि हम पिछले वर्षों के साथ एक ही घर के माप में रहते हैं, उसी माप के साथ हमने नए घर का निर्माण किया, फिर भी हमने सभी दस्तावेजों को पी. डी. ओ. को जमा किया, फिर भी उन्होंने कोई पावती और उचित ई स्वाथु प्रदान नहीं किया, जिसके लिए उन्होंने ई स्वाथु प्रदान करने का अनुरोध किया, जिसके लिए हम पिछले वर्षों से उसी घर के लिए हमारी साइट माप के लिए धन्यवाद","नमस्ते सर मैडम, हमने पी.डी.ओ. से अनुरोध किया था कि वे हमारे घर के नाप के लिए दस्तावेज़ दें, लेकिन उन्होंने हमारे घर के नाप के अनुसार दस्तावेज़ नहीं दिया। उन्होंने हमें कोई रसीद भी नहीं दी जब हमने दस्तावेज़ मांगा था। कृपया एक गाँव में जाँच करें कि हम पिछले सालों से उसी घर में रह रहे हैं, उस"
cm lucknow application for action,कार्रवाई के लिए सी. एम. लखनऊ आवेदन,आगे की कार्रवाई के लिए मुख्यमंत्री को लखनऊ में आवेदन दिया गया।
ayush matters relating to the employees of ministry of ayush and its organizations others ayush institute institute for teaching and research in ayurveda gujarat ppo no sub request for prioritizing the conglomeration process for permanent employees of itra formerly known as sgam respected sir we hope this letter finds you well we the undersigned are regular employees of formerly known as shri gulabkunverba ayurveda mahavidyalaya sgam which have been integrated into the institute of teaching and research in ayurveda itra under the itra act we appreciate the smooth transition facilitated by the administration and the opportunities provided to email however we have some concerns regarding our promotional prospects and employment status we respectfully request your assistance with the following matters equal opportunities and benefits we request that former sgam employees be granted equal opportunities and benefits as their email we also seek alignment of the employment status of all former sgam employees at the earliest opportunity clarifying our employment status would provide job security and allow us to focus more effectively on our professional responsibilities consideration for promotions we request that the qualifications experience and contributions of former sgam employees be duly considered for promotions several employees have been in their respective roles for extended periods without promotion a transparent and fair promotion policy would be highly appreciated grievance redressal mechanism we have faced significant economic and professional challenges due to delays in addressing these issues attached are the academic profiles of all permanent teaching staff members who possess to years of academic experience but are not receiving the appropriate pay scales or positions we request the expedited completion of the conglomeration process additionally we suggest establishing a dedicated grievance redressal mechanism to address the concerns of former sgam employees this would provide a platform for employees to voice their issues,"आयुष मंत्रालय और उसके संगठनों के कर्मचारियों से संबंधित आयुष मामले अन्य आयुष इंस्टीट्यूट इंस्टीट्यूट फॉर टीचिंग एंड रिसर्च इन आयुर्वेद गुजरात पी. पी. ओ. कोई उप अनुरोध नहीं है कि इटरा के स्थायी कर्मचारियों के लिए समूह प्रक्रिया को प्राथमिकता दी जाए जिसे पहले सगाम के नाम से जाना जाता था आदरणीय सर हम आशा करते हैं कि यह पत्र आपको अच्छी तरह से पाता है कि हम अधोहस्ताक्षरित लोग श्री गुलाबकुंवरबा आयुर्वेद महाविद्यालय सगाम के नियमित कर्मचारी हैं जिन्हें इटरा अधिनियम के तहत आयुर्वेद इटरा में शिक्षण और अनुसंधान संस्थान में एकीकृत किया गया है, हम प्रशासन द्वारा सुगम संक्रमण और ईमेल को प्रदान किए गए अवसरों की सराहना करते हैं, हालांकि हमें अपनी प्रचार संभावनाओं और रोजगार की स्थिति के बारे में कुछ चिंताएं हैं, हम सम्मानपूर्वक आपकी सहायता का अनुरोध करते हैं। पदोन्नति नीति की अत्यधिक सराहना की जाएगी शिकायत निवारण तंत्र इन मुद्दों को हल करने में देरी के कारण हमने महत्वपूर्ण आर्थिक और व्यावसायिक चुनौतियों का सामना किया है, जो सभी स्थायी शिक्षण कर्मचारियों के सदस्यों के शैक्षणिक प्रोफाइल हैं जिनके पास वर्षों का शैक्षणिक अनुभव है, लेकिन जो उचित वेतनमान या पद प्राप्त नहीं कर रहे हैं, हम समूह प्रक्रिया को तेजी से पूरा करने का अनुरोध करते हैं, इसके अलावा हम पूर्व एस. जी. एम. कर्मचारियों की चिंताओं को दूर करने के लिए एक समर्पित शिकायत निवारण तंत्र स्थापित करने का सुझाव देते हैं, यह कर्मचारियों को अपने मुद्दों को उठाने के लिए एक मंच प्रदान करेगा","आयुष मंत्रालय और उसके संगठनों के कर्मचारियों से संबंधित आयुष मामले अन्य आयुष संस्थान गुजरात आयुर्वेद शिक्षण और अनुसंधान संस्थान में इटरा के स्थायी कर्मचारियों के लिए समूह प्रक्रिया को प्राथमिकता देने का कोई अनुरोध नहीं है, जिसे पहले सगाम के नाम से जाना जाता था। आदरणीय महोदय, हम आशा करते हैं कि यह पत्"
ayush miscellaneous others in ncismminimum essential standards assessment and rating for postgraduate institutions minimum standards for postgraduate education in ayurveda regulations the following policy regarding phd is wrong practically not possible phd programme shall not be recognised in case if a the phd scholar and the phd supervisor are at different places during the research period b the working place of phd scholar and the research place registered for phd are different because there are many deemed university in india which do not give any stipend during phd persuasion and after ug and pg as it is a medical course near about yr a person can achieve there ageso in this requisition letter we request kindly look into this matter or please if possible change these policies,आयुष में अन्य विषयों में स्नातकोत्तर संस्थानों के लिए न्यूनतम आवश्यक मानकों का मूल्यांकन और मूल्यांकन आयुर्वेद नियमों में स्नातकोत्तर शिक्षा के लिए न्यूनतम मानक पी. एच. डी. के संबंध में निम्नलिखित नीति व्यावहारिक रूप से संभव नहीं है पी. एच. डी. कार्यक्रम को उस स्थिति में मान्यता नहीं दी जाएगी जब कोई पी. एच. डी. छात्र और पी. एच. डी. पर्यवेक्षक शोध अवधि के दौरान अलग-अलग स्थानों पर हैं बी. पी. एच. डी. छात्र का कार्यस्थल और पी. एच. डी. के लिए पंजीकृत शोध स्थान अलग-अलग हैं क्योंकि भारत में कई मानित विश्वविद्यालय हैं जो पी. एच. डी. अनुनय के दौरान कोई वजीफा नहीं देते हैं और यू. जी. और पी. जी. के बाद यह एक चिकित्सा पाठ्यक्रम है क्योंकि यह लगभग एक वर्ष के करीब है इसलिए एक व्यक्ति इस अनुरोध पत्र में उम्र प्राप्त कर सकता है हम कृपया इस मामले पर ध्यान दें या यदि संभव हो तो इन नीतियों को बदलें,आयुष में अन्य विषयों के लिए स्नातकोत्तर संस्थानों के लिए न्यूनतम जरूरी मानकों का आकलन और मूल्यांकन आयुर्वेद नियमों में स्नातकोत्तर शिक्षा के लिए न्यूनतम मानक पीएचडी के संबंध में निम्नलिखित नीति व्यावहारिक रूप से संभव नहीं है। पीएचडी कार्यक्रम को उस स्थिति में मान्यता नहीं दी जाएगी जब कोई पी
ayush miscellaneous others respected sir water is coming in reverse from the uds in front of our house sir we have complained about it but no one is responding we have very small childrens in our house sir that smell is very bad please rectify it as early as possible thanking you sir vs srinivasan a mcr colony tirupati,"आयुष विविध अन्य आदरणीय सर, हमारे घर के सामने ऊद से पानी उल्टा आ रहा है सर हमने इसके बारे में शिकायत की है लेकिन कोई जवाब नहीं दे रहा है हमारे घर में बहुत छोटे बच्चे हैं सर कि बदबू बहुत खराब है कृपया इसे जल्द से जल्द ठीक करें धन्यवाद सर बनाम श्रीनिवासन एक एम. सी. आर. कॉलोनी तिरुपति","आदरणीय सर, हमारे घर के सामने नाली से पानी उलटा आ रहा है। हमने इसकी शिकायत की है लेकिन कोई जवाब नहीं दिया गया है। हमारे घर में छोटे बच्चे हैं और बदबू बहुत बुरी है। कृपया इसे जल्द से जल्द ठीक करवाएं। धन्यवाद, श्रीनिवासन, एम.सी.आर. कॉलोनी, तिरुपति।"
vip reference case in respect of no ex ctgd kanhaiya kumar bn bsf for reinstatement in service,सेवा में बहाली के लिए कोई पूर्व सी. टी. जी. डी. कन्हैया कुमार बी. एन. बी. एस. एफ. के संबंध में वी. आई. पी. संदर्भ मामला,सेवा में वापस लेने के लिए किसी पुराने सी.टी.जी.डी. कन्हैया कुमार बी.एन.बी.एस.एफ. के बारे में विशिष्ट व्यक्ति संबंधित मामला।
vip reference case in respect of no hc nilesh krishanarao raut bn bsf for posting to nagpur maharashtra on medical ground,चिकित्सा आधार पर नागपुर महाराष्ट्र में पोस्टिंग के लिए कोई एच. सी. नीलेश कृष्णराव के संबंध में वी. आई. पी. संदर्भ मामला बी. एन. बी. एस. एफ,सिर्फ आरोग्य के आधार पर नागपुर महाराष्ट्र में नौकरी के लिए एच. सी. नीलेश कृष्णराव के बारे में एक विशेष मामला है।
mha reference case a grievance lodged by shri ajay kumar sharma tarner road dehradun uttarakhand,एम. एच. ए. संदर्भ मामला श्री अजय कुमार शर्मा टार्नर रोड देहरादून उत्तराखंड द्वारा दर्ज कराई गई शिकायत,यह शिकायत श्री अजय कुमार शर्मा टार्नर रोड देहरादून उत्तराखंड द्वारा दर्ज की गई है। इसमें एम. एच. ए. का जिक्र है।
supreme court judgement basi pay fixation in ro hc khushal sahebrao khairnar,आर. ओ. एच. सी. खुशाल साहेबराव खैरनार में उच्चतम न्यायालय का फैसला आधार वेतन निर्धारण,वेतन निर्धारण के लिए खुशाल साहेबराव खैरनार मामले में सर्वोच्च न्यायालय का फैसला।
please find attached herewith appeal no minhaea in ro sh rajeshwar prasad singh received through cpgrams with the request to submit viewscomments with days to this hq,कृपया सी. पी. जी. आर. एम. के माध्यम से प्राप्त आर. ओ. एस. राजेश्वर प्रसाद सिंह में इस मुख्यालय को दिनों के साथ विचार-टिप्पणी प्रस्तुत करने के अनुरोध के साथ संलग्न कोई अपील नहीं ढूंढें,मेरे पास सी.पी.जी.आर.ए.एम. के जरिए मिले आर.ओ.एस. राजेश्वर प्रसाद सिंह में इस मुख्यालय को दिनों के भीतर विचार-टिप्पणी देने की मांग के साथ कोई अपील नहीं मिली।
re instatement in service in ro ex ct ramji lal of bn bsf,बी. एन. बी. एस. एफ. के आर. ओ. पूर्व सी. टी. रामजी लाल में सेवा में पुनर्नियुक्ति,"मुख्य शब्दों का अर्थ:
बी.एन.बी.एस.एफ. = बॉर्डर सिक्योरिटी फोर्स
आर.ओ. = रिजनल ऑफिसर
सी.टी. = कमांडेंट

सरल हिंदी वाक्य:
बॉर्डर सिक्योरिटी फोर्स के पूर्व रिजनल ऑफिसर कमांडेंट रामजी लाल को फिर से नौकरी पर रखा गया।"
regarding payment of gpf with interest,ब्याज के साथ जी. पी. एफ. के भुगतान के संबंध में,जी.पी.एफ. के भुगतान और उस पर मिलने वाले ब्याज के बारे में।
oo the comptroller auditor general of india grievance pertaining to state govt employees pensioners if pending in pagsags offices pension officeofficer agae ii uttar pradesh prayagraj ppo number name of the concerned department sparsh cell state maharashtra sir feb to till date not receive arrears as per govt of india ministry of defence department of ex service men welfare dated august letter no dpenpol as per pcda circular no,o भारत के नियंत्रक महालेखा परीक्षक की राज्य सरकार के कर्मचारियों के पेंशनभोगियों से संबंधित शिकायत यदि पैगैग कार्यालयों में लंबित है तो पेंशन अधिकारी आगाए II उत्तर प्रदेश प्रयागराज पी. पी. ओ. नंबर संबंधित विभाग का नाम स्पर्श प्रकोष्ठ राज्य महाराष्ट्र सर फरवरी को अब तक भारत सरकार के रक्षा मंत्रालय के पूर्व सेवा पुरुष कल्याण विभाग के अनुसार बकाया राशि प्राप्त नहीं हुई है,"यदि भारत के मुख्य लेखा परीक्षक की राज्य सरकार के कर्मचारियों और पेंशनभोगियों से संबंधित शिकायतें पेंशन अधिकारी कार्यालय में लंबित हैं, तो पेंशन अधिकारी प्रयागराज का नाम, पता और संबंधित विभाग का नाम बताएं। अभी तक रक्षा मंत्रालय से बकाया राशि प्राप्त नहीं हुई है।"
oo the comptroller auditor general of india grievance pertaining to state govt employees pensioners if pending in pagsags offices others officeofficer agaegujaratrajkot name of the concerned senior audit officeroad iii to the accountant general audit i anexi bhawan racecross road post beg number rajkot subject action taken of cag i r report by your office referance oad iiis us pr dated dear sir l as per above mentioned subject and reference your office issued a ir of ikdrc on date as per your report what is the action taken by your office regarding above i r report for ikdrc it takes already more then month there is no any action taken by the principal secretary hfwd govt gujarat block new sachivalay gandhinagar or the director ikdrc civil hospital ahmedabad thanking you rajnikant makwana,o भारत के नियंत्रक महालेखा परीक्षक की राज्य सरकार के कर्मचारियों के पेंशनभोगियों से संबंधित शिकायत यदि पैगैग कार्यालयों में लंबित है तो अन्य कार्यालय अधिकारी अगैगुजरात्रराजकोट संबंधित वरिष्ठ लेखा परीक्षा अधिकारी का नाम III लेखाकार को सामान्य लेखा परीक्षा i अनेक्सी भवन रेसक्रॉस रोड पोस्ट बेग नंबर राजकोट विषय कार्रवाई आपके कार्यालय के संदर्भ में ऊपर उल्लिखित विषय के अनुसार प्रिय महोदय को दिनांकित किया गया है और संदर्भ में आपके कार्यालय ने आपकी रिपोर्ट के अनुसार तारीख को आई. के. डी. आर. सी. जारी किया है,"यदि भारत के नियंत्रक एवं महालेखा परीक्षक की राज्य सरकार के कर्मचारियों के पेंशनभोगियों से संबंधित शिकायत पैगैग कार्यालयों में लंबित है, तो अन्य कार्यालय अधिकारी अगैगुजरात्राजकोट से संबंधित वरिष्ठ लेखा परीक्षा अधिकारी का नाम लेखाकार को सामान्य लेखा परीक्षा, अनेक्सी भवन, रेसक्रॉस रोड,"
central board of direct taxes income tax direct taxes issues with it returns rectification pan no assessment year chargeoffice not provided regional office office dgitsystems cpc e filing subject request for condonation of short deduction demand qb ack no al respected sirmadam i ravindra srikanth recently purchased a property and accordingly filed form qb for tds compliance since i was not well versed with tax laws i engaged a tax consultant to assist with the filing however i later became aware that the seller ms r jayashree pan had an inoperative pan due to its non linkage with aadhaar upon realizing this we promptly linked the pan with aadhaar by paying the applicable late fee of subsequently after the processing of the tds statement a demand notice was raised for a short deduction amounting to the short deduction arose due to the inoperative status of the sellers pan at the time of filing which was entirely unintentional since the pan is now active and linked with aadhaar i kindly request the department to condone this mistake and reprocess the qb tds return acknowledgment no al so that the short deduction is nullified i sincerely request your kind consideration of this matter and an appropriate resolution at the earliest i would be grateful for your support and guidance in this regard thank you for your time and assistance best regards ravindra srikanth,"केंद्रीय प्रत्यक्ष कर बोर्ड आयकर प्रत्यक्ष कर के मुद्दे इसके साथ रिटर्न में सुधार पूरे कोई निर्धारण वर्ष में प्रभार कार्यालय ने प्रदान नहीं किया क्षेत्रीय कार्यालय डी. जी. टी. एस. सिस्टम सी. पी. सी. ई. लघु कटौती की मांग को माफ करने के लिए फाइलिंग विषय अनुरोध क्यू. बी. एक नो अल रेटेड सिरमदम आई रवींद्र श्रीकांत ने हाल ही में एक संपत्ति खरीदी और तदनुसार टी. डी. एस. अनुपालन के लिए फॉर्म क्यू. बी. दाखिल किया क्योंकि मैं कर कानूनों से अच्छी तरह वाकिफ नहीं था, इसलिए मैंने फाइलिंग में सहायता के लिए एक कर सलाहकार को नियुक्त किया, हालांकि बाद में मुझे पता चला कि विक्रेता एम. एस. आर. जयश्री पान के पास आधार के साथ संबंध न होने के कारण एक निष्क्रिय पैन था, यह महसूस करने पर कि हमने पैन को आधार के साथ तुरंत जोड़ा, जिसके बाद प्रसंस्करण के बाद बाद लागू देर से शुल्का भुगतान किया गया। जल्द से जल्द एक उचित समाधान के लिए मैं इस संबंध में आपके समर्थन और मार्गदर्शन के लिए आभारी रहूंगा, आपके समय और सहायता के लिए धन्यवाद रवींद्र श्रीकांत",मुझे आयकर विभाग से एक मामला आया है। मैंने हाल ही में एक संपत्ति खरीदी और उसके लिए फॉर्म क्यू.बी. दाखिल किया। लेकिन बाद में पता चला कि विक्रेता का पैन नंबर सक्रिय नहीं था। जब हमने इसे जोड़ा तो देरी शुल्क लगा। मैं जल्द से जल्द इस समस्या का समाधान चाहता हूं। इस बारे में आपके मार्गदर्शन और सहायता के लि
central board of direct taxes income tax othermiscsuggestions regional office office dgit icinew delhi intelligence and criminal investigation respected smt nirmala sitharamanfinance minister north blockplease help hanumayammarespected ravi agrawalchairman cbdtgirdher sharmasr pps to chairman cbdtneeru malhotrapso to member cbdtravi agrawalmember admn cbdtplease help hanumayamma respected shri pankaj chaudharymos financerespected m nagarajusecretary fss s nakulprivate secretary to fmankit jalanadditional private secretary to fmsameer shuklajoint secretaryshri umesh chandradeputy secretary financial servicessugandha sharmaaddl director of income tax tps ii departmentoffinancial servicesrevenueshrimanujdirector coordrevenue shri manu j manu j vettickan director department of revenueplease help hanumayamma subject please help senior citizen vhanumayamma remove the encroachment of the plot no for registration in sy no situated at ram pur in karimnagartelanganaindia i have recived email from parveen singh us email on fri sep section officer lcis ii division mha i have recived letter from no lc government of indiaministry of home affairsis ii divisionlegal cell ind floor mdcn stadiumnear india gatenew delhi dated o subjectforwarding of police complaint tothe sececretaryhomegovernment of telanganahyderabad sn name amp address of the petitioner shrismtmrmrsms date of petition dy no jayashankar complaint recived by email idemail lc police and public ordet are subjects of state as per the seventh schedule of constitution of india the complaints in original are forwarded for taking necessary action under intimation to applicants amp this ministry copy for information to above stated complainants with a request that office of secretary home government of telangana may please be contacted for the action taken with regard to the complaint forwarded to them thanks,केंद्रीय प्रत्यक्ष कर बोर्ड अन्य सुझाव क्षेत्रीय कार्यालय कार्यालय डी. जी. आई. सी. आई. एन. यू. दिल्ली खुफिया और आपराधिक जांच माननीय श्रीमती निर्मला सीतारमन वित्त मंत्री उत्तर ब्लॉकृपया मदद हनुमायम्मा का सम्मान किया रवि अग्रवाल अध्यक्ष सी. बी. डी. गिरधर शर्मा पी. एस. अध्यक्ष सी. बी. डी. टी. नीरू मल्होत्रा को सदस्य सी. बी. डी. ट्रावी अग्रवाल सदस्य प्रशासक सी. बी. डी. कृपया मदद हनुमयम्मा सम्मानित श्री पंकज चौधरीमोस वित्तपोषक एम. नगराजुस सचिव एफ. एस. एस. के नकुलप्राइवेट सचिव से एफ. कर्नाटक के रामपुर में स्थित एस. आई. नंबर में मुझे परवीन सिंह से एफ. आर. आई. एस. ई. पी. सेक्शन ऑफिसर एल. सी. आई. आई. डिवीजन एम. एच. ए. पर ईमेल प्राप्त हुआ है मुझे गृह मंत्रालय की भारतीय एल. सी. सरकार से पत्र प्राप्त हुआ है,"यह एक आवेदन है जिसमें केंद्रीय प्रत्यक्ष कर बोर्ड से कुछ सुझाव मांगे गए हैं। इसमें कई लोगों के नाम और पदनाम हैं जैसे श्रीमती निर्मला सीतारमण (वित्त मंत्री), श्री रवि अग्रवाल (अध्यक्ष सीबीडीटी), श्री गिरधर शर्मा (पीएस अध्यक्ष सीबीडीटी), श्रीमती नीरू मल्होत्रा ("
central board of direct taxes income tax employee related services related misbehaviourharassment by any officerstaff organisation name college of nursing bjgmc pune divisionsection pune employee no and name mrs mrunal deshpande regional office office region pune mental harassment of students applying hitler rule no involvement of students in any matter and making us do extra duties apart from syllabus and blackmailing if u dont listen i wont give completion certificate mentally torturing us,केंद्रीय प्रत्यक्ष कर बोर्ड आयकर कर्मचारी संबंधित सेवाओं से संबंधित किसी भी अधिकारी द्वारा दुर्व्यवहार संगठन का नाम कॉलेज ऑफ नर्सिंग बी. जे. जी. एम. सी. पुणे डिवीजन सेक्शन पुणे कर्मचारी संख्या और नाम श्रीमती मृणाल देशपांडे क्षेत्रीय कार्यालय कार्यालय क्षेत्र पुणे हिटलर नियम लागू करने वाले छात्रों का मानसिक उत्पीड़न किसी भी मामले में छात्रों की कोई भागीदारी नहीं है और हमें पाठ्यक्रम और ब्लैकमेलिंग के अलावा अतिरिक्त कर्तव्यों को करने के लिए मजबूर करता है यदि आप नहीं सुनते हैं तो मैं हमें मानसिक रूप से प्रताड़ित करते हुए पूर्णता प्रमाण पत्र नहीं दूंगा,मेरा नाम मृणाल देशपांडे है। मैं पुणे के बी.जे.जी.एम.सी. नर्सिंग कॉलेज में काम करती हूं। कर्मचारियों द्वारा छात्रों के साथ बुरा व्यवहार किया जाता है। अगर छात्र नहीं मानते तो उन्हें परेशान किया जाता है और पूर्णता प्रमाण पत्र नहीं दिया जाता। छात्रों को पढ़ाई के अलावा अन्य काम करने के लिए मजबूर किया
central board of direct taxes income tax direct taxes issues with it returns refund matter wrong demand pan no assessment year chargeoffice not provided regional office office dgitsystems cpc e filing the itat has already deleted addition and there is no outstanding demand for ay amp we have received refunds after order for ay please release refund for ay determined by cpc the copy of itat order is enclosed,केंद्रीय प्रत्यक्ष कर बोर्ड आयकर प्रत्यक्ष कर के मुद्दे इसके साथ वापसी का मामला गलत मांग के साथ कोई मूल्यांकन वर्ष नहीं प्रभार कार्यालय ने क्षेत्रीय कार्यालय कार्यालय डी. जी. टी. सिस्टम सी. पी. सी. ई. आई. टी. दाखिल नहीं किया है जो पहले ही जोड़ को हटा चुका है और ए. आई. ए. एम. पी. के लिए कोई बकाया मांग नहीं है जो हमें ए. आई. के आदेश के बाद धनवापसी प्राप्त हुई है कृपया सी. पी. सी. द्वारा निर्धारित ए. आई. के लिए धनवापसी जारी करें आई. टी. ए. आदेश की प्रति संलग्न है,"केंद्रीय प्रत्यक्ष कर बोर्ड आयकर के मामले में वापसी का मुद्दा है। किसी भी साल के लिए गलत मांग के साथ कोई मूल्यांकन नहीं किया गया है। क्षेत्रीय कार्यालय ने डी.जी.आई.टी. सिस्टम, सी.पी.सी. में दाखिल नहीं किया है क्योंकि पहले ही जोड़ को हटा दिया गया था और ए.आई.ए.टी. के आदेश के बाद हमें धन"
central board of direct taxes income tax direct taxes issues with it returns refund matter wrong demand pan no assessment year chargeoffice not provided regional office office exemptions return of income for ay was filed on disclosing email nil and claim for refund of rs intimation order us was issued on wherein the income was email nil and refund of taxes amounting to rs the department has appropriated the refund due against the non existent alleged demand of ay as under rs copy of application for rectification of demand and issue of refund was filed in the office of dcit exemption ghaziabad inspite of lapse of so many days our assessment has neither been finalized nor the refund has been issued to us which was wrongly appropriated against a non existent demand of ay it is therefore requested that refund for all apportions of tax made by the department in asstt year may please be issued without any further delay and refund of tax alongwith interest thereon may kindly be issued to us,केंद्रीय प्रत्यक्ष कर बोर्ड आयकर प्रत्यक्ष कर के मुद्दे इसके साथ रिटर्न रिफंड का मामला गलत मांग पर कोई निर्धारण वर्ष प्रभार कार्यालय प्रदान नहीं किया गया क्षेत्रीय कार्यालय कार्यालय के लिए आय की वापसी ईमेल शून्य का खुलासा करने पर दायर की गई थी और आरएस सूचना आदेश की वापसी के लिए दावा किया गया था जिस पर आय ईमेल शून्य थी और करों की वापसी की राशि विभाग ने डी. सी. आई. टी. गाजियाबाद के कार्यालय में मांग में सुधार और धनवापसी जारी करने के लिए आवेदन की आर. एस. प्रति के तहत ए. आई. की गैर-मौजूद कथित मांग के खिलाफ देय धनवापसी को विनियोजित किया है। इतने दिन बीतने के बावजूद हमारे मूल्यांकन को न तो अंतिम रूप दिया गया है और न ही हमें धनवापसी जारी की गई है जो एक गैर-मौजूद मांग के खिलाफ गलत तरीके से उचित थी,"यहां सरल हिंदी वाक्य है:

केंद्रीय कर विभाग आयकर के मामलों से निपटता है। हमने अपना रिटर्न दायर किया था जिसमें आय शून्य थी। विभाग ने गलत तरीके से हमसे कर की मांग की। हमने गाजियाबाद कार्यालय से इस गलत मांग को सुधारने और हमारी रकम वापस करने का अनुरोध किया। लेकिन कई दिन बीत गए और न तो हमारा मूल्यांकन पूरा हुआ"
central board of direct taxes income tax direct taxes issues with it returns rectification pan no assessment year ay chargeoffice not provided regional office office region mumbai sir our client is in receipt of your order us of income tax act from income tax department as per income tax order there is a demand of rs it is observed that out of total tds credit of rs claimed only tds credit of rs is given balance tds credit of salary rs amp tds on interest rs is not given copy of form as itrv computation of income amp form is also enclosed herewith for your reference you are requested to give credit for full tds claimed and rectify the mistake us of income tax act and issue fresh order at your earliest thanking youquot,"केंद्रीय प्रत्यक्ष कर बोर्ड आयकर प्रत्यक्ष कर के मुद्दे इसके साथ रिटर्न में सुधार पूरे कोई निर्धारण वर्ष नहीं है प्रभार कार्यालय ने क्षेत्रीय कार्यालय क्षेत्र मुंबई को नहीं दिया है सर हमारे मुवक्किल को आयकर विभाग से आयकर अधिनियम के आपके आदेश की प्राप्ति हो रही है, आयकर आदेश के अनुसार यह देखा गया है कि कुल टी. डी. एस. क्रेडिट में से केवल टी. डी. एस. क्रेडिट का दावा किया गया है, शेष टी. डी. एस. क्रेडिट का दावा किया गया है, टी. डी. एस. क्रेडिट का दावा किया गया है, टी. डी. एस. क्रेडिट का दावा किया गया है, टी. डी. एस. क्रेडिट का दावा किया गया है, टी. डी. एस. क्रेडिट का दावा किया गया है, टी. डी. एस. क्रेडिट का दावा किया गया है, टी. डी. एस. क्रेडिट का दावा किया गया है, टी. डी. एस. क्रेडिट का दावा किया गया है, टी. डी. एस. जमा किया गया है और","मेरे मित्र, हम आपके लिए इस वाक्य को सरल और आम बोलचाल की हिंदी में लिखने की कोशिश करेंगे:

केंद्रीय कर विभाग आयकर के मामलों को देखता है। आपके रिटर्न में सुधार करने की जरूरत है क्योंकि किसी भी साल के लिए कर निर्धारण नहीं किया गया है। मुंबई के क्षेत्रीय कार्यालय ने आपको आदेश नहीं दिया है। हमारे ग्राहक को आयक"
